"originalName","newName","logicalPath","contentType","bytes","sha256","sourceUrl","sourceGroup","classification"
"937e2d8f-d660-4baa-9dca-6d7502d63ff9.bcaf6.png","images/texture/bonus_loading/fi/bonus_loading.png","texture/bonus_loading/fi/bonus_loading","image/png","59448","c7b7b92b5c7da7e5a4e1ba21ec7daa476ac8c39e98ffcb833f77b32b48f3bf34","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/93/937e2d8f-d660-4baa-9dca-6d7502d63ff9.bcaf6.png","manifest-native","manifest-confirmed"
"b9f04392-4273-4695-97da-2ac90167bb13.34cfc.png","images/texture/bonus_loading/fr/bonus_loading.png","texture/bonus_loading/fr/bonus_loading","image/png","66471","2276263a39518c1f4c7aecbccbadebc275696e03f6107cc234719590771a27b6","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/b9/b9f04392-4273-4695-97da-2ac90167bb13.34cfc.png","manifest-native","manifest-confirmed"
"a6791981-93ad-4965-97ca-6389b377ff15.618f1.png","images/texture/bonus_loading/hi/bonus_loading.png","texture/bonus_loading/hi/bonus_loading","image/png","251907","2ff11c43cd6801ea3efdd4a57ca9b9a2770d6f7f939c353962e0109387c58bb3","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/a6/a6791981-93ad-4965-97ca-6389b377ff15.618f1.png","manifest-native","manifest-confirmed"
"1d0c7ff5-924c-48f4-b97e-98cd0eb0ecde.e9562.png","images/texture/bonus_loading/id/bonus_loading.png","texture/bonus_loading/id/bonus_loading","image/png","68287","561504429e671078e84b7e21b1f0871b4f6f102a30597b72fe327a808a3ff476","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/1d/1d0c7ff5-924c-48f4-b97e-98cd0eb0ecde.e9562.png","manifest-native","manifest-confirmed"
"25ebffa4-b897-4ce1-9ed9-2bc1364f8a06.b97fc.png","images/texture/bonus_loading/it/bonus_loading.png","texture/bonus_loading/it/bonus_loading","image/png","58905","eb6d7bebb02ae8bf8709f21ba13f158fbd0e7dee700ef0bca6a7cd4694a51f69","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/25/25ebffa4-b897-4ce1-9ed9-2bc1364f8a06.b97fc.png","manifest-native","manifest-confirmed"
"a537e174-acd5-47e6-a310-b707108e9dcd.44170.png","images/texture/bonus_loading/ja/bonus_loading.png","texture/bonus_loading/ja/bonus_loading","image/png","64473","a5e9dfef62c2e8f8c90ba2299bbbbb4733dc37ca0d80c7ec0599cff5b69d0cf9","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/a5/a537e174-acd5-47e6-a310-b707108e9dcd.44170.png","manifest-native","manifest-confirmed"
"1e19ecbf-5386-4333-9c07-cbadabf0a77b.fada6.png","images/texture/bonus_loading/ko/bonus_loading.png","texture/bonus_loading/ko/bonus_loading","image/png","48696","d30a232375afcd2f5c96cef48f9fc92327482ff04b7efe979dcacd89fff84432","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/1e/1e19ecbf-5386-4333-9c07-cbadabf0a77b.fada6.png","manifest-native","manifest-confirmed"
"1889644f-f400-4d9e-a779-0ccec3194c17.7c7d7.png","images/texture/bonus_loading/lo/bonus_loading.png","texture/bonus_loading/lo/bonus_loading","image/png","220222","901a0794c5b6c49f8009a1f24325c33f2486aa6b26a5f60ffe9a62df0ffdb1ef","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/18/1889644f-f400-4d9e-a779-0ccec3194c17.7c7d7.png","manifest-native","manifest-confirmed"
"eda93d09-411f-43a8-a5c2-b1e8d66e9f1c.27a07.png","images/texture/bonus_loading/my/bonus_loading.png","texture/bonus_loading/my/bonus_loading","image/png","55604","9188e4cd568dccdba22359044d09bc6c50324d0e7cb0eae6bf5d171de9c9acf8","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/ed/eda93d09-411f-43a8-a5c2-b1e8d66e9f1c.27a07.png","manifest-native","manifest-confirmed"
"f5d7da9a-9101-4ea8-b58a-31f49f15fab0.daa31.png","images/texture/bonus_loading/nl/bonus_loading.png","texture/bonus_loading/nl/bonus_loading","image/png","68155","8ae1bfc0ad4790264f7fae912a69a4aeadcd19ba77d9eeb728463373cf7b9c1d","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/f5/f5d7da9a-9101-4ea8-b58a-31f49f15fab0.daa31.png","manifest-native","manifest-confirmed"
